"Site","Date","BloomStatus","FlowerNum","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies"
"L24","7/18/13","finishing bloom",1,"Arnica","nevadensis","",""
"L24","7/31/13","finishing bloom",1,"Arnica","nevadensis","",""
"L24","6/13/14","not blooming",0,"Arnica","nevadensis","",""
"L24","6/23/14","full bloom",1,"Arnica","nevadensis","",""
"L24","7/2/14","finishing bloom",2,"Arnica","nevadensis","",""
"L24","7/13/14","full bloom",2,"Arnica","nevadensis","",""
"N131","6/30/13","not blooming",0,"Aster","breweri","",""
"N131","7/14/13","full bloom",2,"Aster","breweri","",""
"N131","7/20/13","full bloom",2,"Aster","breweri","",""
"N131","8/1/13","finishing bloom",2,"Aster","breweri","",""
"N131","6/14/14","not blooming",0,"Aster","breweri","",""
"N131","6/25/14","beginning to bloom to bloom",2,"Aster","breweri","",""
"N131","7/4/14","full bloom",2,"Aster","breweri","",""
"N131","7/14/14","finishing bloom",2,"Aster","breweri","",""
"L21","6/26/13","beginning to bloom",1,"Aster","integrifolius","",""
"L21","7/13/13","full bloom",3,"Aster","integrifolius","",""
"L21","7/17/13","full bloom",3,"Aster","integrifolius","",""
"L21","7/30/13","finishing bloom",3,"Aster","integrifolius","",""
"L21","6/12/14","not blooming",0,"Aster","integrifolius","",""
"L21","6/22/14","not blooming",0,"Aster","integrifolius","",""
"L21","7/3/14","not blooming",0,"Aster","integrifolius","",""
"L21","7/13/14","full bloom",2,"Aster","integrifolius","",""
"N131","6/30/13","not blooming",0,"Aster","integrifolius","",""
"N131","7/14/13","not blooming",0,"Aster","integrifolius","",""
"N131","7/20/13","not blooming",0,"Aster","integrifolius","",""
"N131","8/1/13","full bloom",2,"Aster","integrifolius","",""
"N131","6/14/14","not blooming",0,"Aster","integrifolius","",""
"N131","6/25/14","not blooming",0,"Aster","integrifolius","",""
"N131","7/4/14","not blooming",0,"Aster","integrifolius","",""
"N131","7/14/14","finishing bloom",1,"Aster","integrifolius","",""
"P37","6/28/13","full bloom",1,"Aster","integrifolius","",""
"P37","7/13/13","full bloom",1,"Aster","integrifolius","",""
"P37","7/19/13","full bloom",1,"Aster","integrifolius","",""
"P37","7/30/13","full bloom",1,"Aster","integrifolius","",""
"P37","6/13/14","not blooming",0,"Aster","integrifolius","",""
"P37","6/24/14","full bloom",1,"Aster","integrifolius","",""
"P37","7/1/14","full bloom",1,"Aster","integrifolius","",""
"P37","7/13/14","not blooming",0,"Aster","integrifolius","",""
"N139","6/18/14","not blooming",0,"Aster","sp.","",""
"N139","7/6/14","not blooming",0,"Aster","sp.","",""
"N139","7/9/14","not blooming",0,"Aster","sp.","",""
"N139","7/18/14","full bloom",1,"Aster","sp.","",""
"L35","6/12/14","full bloom",2,"Brassica","sp.","",""
"L35","6/22/14","finishing bloom",1,"Brassica","sp.","",""
"L35","7/3/14","finishing bloom",1,"Brassica","sp.","",""
"L35","7/13/14","not blooming",0,"Brassica","sp.","",""
"L21","6/26/13","finishing bloom",3,"Calochortus","spp.","",""
"L21","7/13/13","not blooming",0,"Calochortus","spp.","",""
"L21","7/17/13","not blooming",0,"Calochortus","spp.","",""
"L21","7/30/13","not blooming",0,"Calochortus","spp.","",""
"L21","6/12/14","not blooming",0,"Calochortus","spp.","",""
"L21","6/22/14","full bloom",2,"Calochortus","spp.","",""
"L21","7/3/14","finishing bloom",1,"Calochortus","spp.","",""
"L21","7/13/14","not blooming",0,"Calochortus","spp.","",""
"L24","6/27/13","full bloom",1,"Calochortus","spp.","",""
"L24","7/13/13","not blooming",0,"Calochortus","spp.","",""
"L24","7/18/13","not blooming",0,"Calochortus","spp.","",""
"L24","7/31/13","not blooming",0,"Calochortus","spp.","",""
"L24","6/13/14","not blooming",0,"Calochortus","spp.","",""
"L24","6/23/14","not blooming",0,"Calochortus","spp.","",""
"L24","7/2/14","not blooming",0,"Calochortus","spp.","",""
"L24","7/13/14","not blooming",0,"Calochortus","spp.","",""
"L33","6/29/13","full bloom",1,"Calochortus","spp.","",""
"L33","7/13/13","not blooming",0,"Calochortus","spp.","",""
"L33","7/19/13","not blooming",0,"Calochortus","spp.","",""
"L33","7/31/13","not blooming",0,"Calochortus","spp.","",""
"L33","6/13/14","not blooming",0,"Calochortus","spp.","",""
"L33","6/23/14","full bloom",1,"Calochortus","spp.","",""
"L33","7/3/14","full bloom",1,"Calochortus","spp.","",""
"L33","7/13/14","not blooming",0,"Calochortus","spp.","",""
"L35","6/12/14","not blooming",0,"Calochortus","spp.","",""
"L35","6/22/14","not blooming",0,"Calochortus","spp.","",""
"L35","7/3/14","finishing bloom",1,"Calochortus","spp.","",""
"L35","7/13/14","not blooming",0,"Calochortus","spp.","",""
"N131","6/30/13","finishing bloom",1,"Calochortus","spp.","",""
"N131","7/14/13","not blooming",0,"Calochortus","spp.","",""
"N131","7/20/13","not blooming",0,"Calochortus","spp.","",""
"N131","8/1/13","not blooming",0,"Calochortus","spp.","",""
"N131","6/14/14","not blooming",0,"Calochortus","spp.","",""
"N131","6/25/14","full bloom",1,"Calochortus","spp.","",""
"N131","7/4/14","beginning to bloom to bloom",1,"Calochortus","spp.","",""
"N131","7/14/14","not blooming",0,"Calochortus","spp.","",""
"N132","6/14/14","full bloom",1,"Calochortus","spp.","",""
"N132","6/25/14","full bloom",1,"Calochortus","spp.","",""
"N132","7/4/14","not blooming",0,"Calochortus","spp.","",""
"N132","7/14/14","not blooming",0,"Calochortus","spp.","",""
"N135","6/18/14","full bloom",1,"Calochortus","spp.","",""
"N135","7/6/14","full bloom",1,"Calochortus","spp.","",""
"N135","7/9/14","not blooming",0,"Calochortus","spp.","",""
"N135","7/19/14","not blooming",0,"Calochortus","spp.","",""
"N137","6/19/14","not blooming",0,"Calochortus","spp.","",""
"N137","7/7/14","full bloom",1,"Calochortus","spp.","",""
"N137","7/10/14","full bloom",1,"Calochortus","spp.","",""
"N137","7/19/14","not blooming",0,"Calochortus","spp.","",""
"P24","6/27/13","full bloom",1,"Calochortus","spp.","",""
"P24","7/13/13","not blooming",0,"Calochortus","spp.","",""
"P24","7/19/13","not blooming",0,"Calochortus","spp.","",""
"P24","7/29/13","not blooming",0,"Calochortus","spp.","",""
"P24","6/12/14","not blooming",0,"Calochortus","spp.","",""
