Site,Date,FieldPlantSp,PlantSp,BloomStatus,NumFlower,Collector
L35,6/27/2013,LUPLAT,Lupinus latifolius var.columbianus,BEGINNING,1,LCP
L35,7/13/2013,LUPLAT,Lupinus latifolius var.columbianus,BEGINNING,3,SH
L35,7/18/2013,LUPLAT,Lupinus latifolius var.columbianus,FULL,4,CRP
L35,7/29/2013,LUPLAT,Lupinus latifolius var.columbianus,FINISHING,4,LCP
L35,6/27/2013,PHAHAS,Phacelia hastata ssp. compacta,FULL,2,LCP
L35,7/13/2013,PHAHAS,Phacelia hastata ssp. compacta,FINISHING,2,SH
L35,7/18/2013,PHAHAS,Phacelia hastata ssp. compacta,FINISHING,2,CRP
L35,7/29/2013,PHAHAS,Phacelia hastata ssp. compacta,NOT BLOOMING,0,LCP
L35,6/27/2013,SOLCAN,Solidago canadensis ssp. elongata,BEGINNING,1,LCP
L35,7/13/2013,SOLCAN,Solidago canadensis ssp. elongata,BEGINNING,4,SH
L35,7/18/2013,SOLCAN,Solidago canadensis ssp. elongata,BEGINNING,4,CRP
L35,7/29/2013,SOLCAN,Solidago canadensis ssp. elongata,FULL,4,LCP
N131,6/30/2013,APOAND,Apocynum androsaemifolium ,FULL,2,CK
N131,7/14/2013,APOAND,Apocynum androsaemifolium ,FULL,3,CRP
N131,7/20/2013,APOAND,Apocynum androsaemifolium ,FULL,3,LCP
N131,8/1/2013,APOAND,Apocynum androsaemifolium ,FINISHING,3,CRP
N131,6/30/2013,ARAREC,Arabis rectissima var. rectissima,FINISHING,1,CK
N131,7/14/2013,ARAREC,Arabis rectissima var. rectissima,NOT BLOOMING,0,CRP
N131,7/20/2013,ARAREC,Arabis rectissima var. rectissima,NOT BLOOMING,0,LCP
N131,8/1/2013,ARAREC,Arabis rectissima var. rectissima,NOT BLOOMING,0,CRP
N131,6/30/2013,ASTBRE,Aster breweri,NOT BLOOMING,0,CK
N131,7/14/2013,ASTBRE,Aster breweri,FULL,2,CRP
N131,7/20/2013,ASTBRE,Aster breweri,FULL,2,LCP
N131,8/1/2013,ASTBRE,Aster breweri,FINISHING,2,CRP
N131,6/30/2013,ASTINT,Aster integrifolius,NOT BLOOMING,0,CK
N131,7/14/2013,ASTINT,Aster integrifolius,NOT BLOOMING,0,CRP
N131,7/20/2013,ASTINT,Aster integrifolius,NOT BLOOMING,0,LCP
N131,8/1/2013,ASTINT,Aster integrifolius,FULL,2,CRP
N131,6/30/2013,CASAPP,Castilleja applegatei ssp. disticha,FULL,2,CK
N131,7/14/2013,CASAPP,Castilleja applegatei ssp. disticha,FULL,2,CRP
N131,7/20/2013,CASAPP,Castilleja applegatei ssp. disticha,FULL,2,LCP
N131,8/1/2013,CASAPP,Castilleja applegatei ssp. disticha,FINISHING,2,CRP
N131,6/30/2013,CEACOR,Ceanothus cordulatus,FINISHING,3,CK
N131,7/14/2013,CEACOR,Ceanothus cordulatus,NOT BLOOMING,0,CRP
N131,7/20/2013,CEACOR,Ceanothus cordulatus,NOT BLOOMING,0,LCP
N131,8/1/2013,CEACOR,Ceanothus cordulatus,NOT BLOOMING,0,CRP
N131,6/30/2013,ERINUD,Eriogonum nudum var.nudum,FULL,3,CK
N131,7/14/2013,ERINUD,Eriogonum nudum var.nudum,FULL,4,CRP
N131,7/20/2013,ERINUD,Eriogonum nudum var.nudum,FULL,3,LCP
N131,8/1/2013,ERINUD,Eriogonum nudum var.nudum,FINISHING,3,CRP
N131,6/30/2013,GAYDIF,Gayophytum diffusum ,FULL,3,CK
N131,7/14/2013,GAYDIF,Gayophytum diffusum ,FULL,3,CRP
N131,7/20/2013,GAYDIF,Gayophytum diffusum ,FULL,3,LCP
N131,8/1/2013,GAYDIF,Gayophytum diffusum ,FULL,3,CRP
N131,6/30/2013,GAYERI,Gayophytum eriospermum,FULL,3,CK
N131,7/14/2013,GAYERI,Gayophytum eriospermum,FULL,4,CRP
N131,7/20/2013,GAYERI,Gayophytum eriospermum,FULL,3,LCP
N131,8/1/2013,GAYERI,Gayophytum eriospermum,FULL,3,CRP
N131,6/30/2013,MONODO,Monardella odoratissima ssp. pallida,FULL,3,CK
N131,7/14/2013,MONODO,Monardella odoratissima ssp. pallida,FINISHING,3,CRP
N131,7/20/2013,MONODO,Monardella odoratissima ssp. pallida,FINISHING,2,LCP
N131,8/1/2013,MONODO,Monardella odoratissima ssp. pallida,FINISHING,2,CRP
N131,6/30/2013,PHAHAS,Phacelia hastata ssp. compacta,FULL,2,CK
