Site,Date,FieldPlantSp,PlantSp,BloomStatus,NumFlower,Collector,SampleRound,Year
P310,7/17/13,APOAND,Apocynum androsaemifolium,finishing,3,CRP,3,2013
P310,7/31/13,APOAND,Apocynum androsaemifolium,finishing,2,GH,4,2013
P310,6/12/14,APOAND,Apocynum androsaemifolium,not blooming,0,LCP,1,2014
P310,6/24/14,APOAND,Apocynum androsaemifolium,beginning to bloom to bloom,1,LCP,2,2014
P310,7/1/14,APOAND,Apocynum androsaemifolium,beginning to bloom to bloom,3,KK,3,2014
P310,7/13/14,APOAND,Apocynum androsaemifolium,beginning to bloom to bloom,2,CV,4,2014
P33,6/12/14,APOAND,Apocynum androsaemifolium,full bloom,0,AJR,1,2014
P33,6/22/14,APOAND,Apocynum androsaemifolium,finishing bloom,0,LTC,2,2014
P33,7/2/14,APOAND,Apocynum androsaemifolium,finishing bloom,0,LCP,3,2014
P33,7/13/14,APOAND,Apocynum androsaemifolium,full bloom,2,LMH,4,2014
P43,6/12/14,APOAND,Apocynum androsaemifolium,not blooming,0,JPS,1,2014
P43,6/23/14,APOAND,Apocynum androsaemifolium,not blooming,0,KK,2,2014
P43,7/2/14,APOAND,Apocynum androsaemifolium,not blooming,0,KK,3,2014
P43,7/13/14,APOAND,Apocynum androsaemifolium,full bloom,2,PG,4,2014
W04,6/30/13,APOAND,Apocynum androsaemifolium,not blooming,0,CRP,1,2013
W04,7/14/13,APOAND,Apocynum androsaemifolium,full,2,LCP,2,2013
W04,7/20/13,APOAND,Apocynum androsaemifolium,finishing,2,GH,3,2013
W04,8/1/13,APOAND,Apocynum androsaemifolium,finishing,2,GH,4,2013
W04,6/14/14,APOAND,Apocynum androsaemifolium,not blooming,0,JPS/LTC,1,2014
W04,6/25/14,APOAND,Apocynum androsaemifolium,full bloom,2,LCP,2,2014
W04,7/4/14,APOAND,Apocynum androsaemifolium,full bloom,2,LCP,3,2014
W04,7/14/14,APOAND,Apocynum androsaemifolium,full bloom,4,LTC,4,2014
N134,7/8/13,AQUFOR,Aquilegia formosa,full,1,LCP,1,2013
N134,7/11/13,AQUFOR,Aquilegia formosa,full,1,CRP,2,2013
N134,7/22/13,AQUFOR,Aquilegia formosa,not blooming,0,GH,3,2013
N134,7/25/13,AQUFOR,Aquilegia formosa,not blooming,0,CRP,4,2013
