"Family","Genus","SubGenus","Species","SubSpecies","Sociality","NestLoc","Excavate","Lecty","Wood","FireKill","Notes","Reference","GenusSpecies","PolSpec","PolSpec.2013","PolSpec.2014","YoseSpec"
"Apidae","Bombus","Pyrobombus","flavifrons","","social","mix","rent",NA,"yes","yes","","","Bombus flavifrons",0.59933141233768,NA,0.662682244958893,0.584665493391952
"Apidae","Ceratina","Zadontomerus","nanula","","solitary","above","ex","polylectic","no","no","","","Ceratina nanula",NA,NA,NA,0.2932002083257
"Apidae","Epeolus","","sp.","a","parasite","below","rent",NA,"no","no","","","Epeolus sp. a",0.0714684839805045,0.0559529677383328,NA,0.466960534490529
"Apidae","Melissodes","Eumelissodes","micheneri","","solitary","below","ex",NA,"no","no","","","Melissodes micheneri",0.179801361391281,0.136558107922724,NA,0.466075418259602
"Apidae","Melissodes","Eumelissodes","microsticta","","solitary","below","ex",NA,"no","no","","","Melissodes microsticta",0.275911543725247,0.209369112649672,0.81447306599476,0.47173738019176
"Apidae","Nomada","","sp.","a","parasite","below","rent",NA,"no","no","","","Nomada sp. a",0.264564997855247,0.379373941682926,NA,0.262875398985021
"Apidae","Nomada","","sp.","b","parasite","below","rent",NA,"no","no","","","Nomada sp. b",0.11123123021735,0.153780471875182,NA,0.262875398985021
"Apidae","Nomada","","sp.","c","parasite","below","rent",NA,"no","no","","","Nomada sp. c",NA,NA,NA,0.262875398985021
"Apidae","Triepeolus","","sp.","a","parasite","below","rent",NA,"no","no","","","Triepeolus sp. a",0.282661329664205,0.318433734293306,NA,0.194218526284883
"Apidae","Xeromelecta","Melectomorpha","californica","","parasite","below","rent","parasite","no","no","","","Xeromelecta californica",0.141474809300207,0.12164939407013,NA,0.285525462711638
"Apidae","Xylocopa","Notoxylocopa","tabaniformis","orpifex","solitary","above","ex","polylectic","yes","yes","","","Xylocopa tabaniformis orpifex",0.136505952950409,0.178727164942296,0.222306983099095,0.371886485750174
"Apidae","Xylocopa","Xylocopoides","californica","","solitary","above","ex","polylectic","yes","yes","","","Xylocopa californica",0.287765923535253,0.313087444057797,0.28872860853431,0.399169103483816
"Colletidae","Colletes","hyalinus","lutzi","monticola","solitary","below","ex",NA,"no","no","","","Colletes lutzi monticola",0.247888567632049,0.24362439258003,0.230725872321378,0.180071897986077
"Colletidae","Colletes","simulans","fulgidus","","solitary","below","ex",NA,"no","no","","","Colletes fulgidus",0.210380326259712,0.192717023344937,NA,0.20675223561617
