"Site","Date","BloomStatus","FlowerNum","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies","Year","doy","Occ","logFlowerNum","PlantGenusSpecies","SiteStatus"
"N135",2014-07-06,"full bloom",5,"Apocynum","androsaemifolium","","","2014",187,1,10000,"Apocynum androsaemifolium","MOD"
"N135",2014-07-09,"finishing bloom",3,"Apocynum","androsaemifolium","","","2014",190,1,100,"Apocynum androsaemifolium","MOD"
"N135",2014-07-19,"finishing bloom",2,"Apocynum","androsaemifolium","","","2014",200,1,10,"Apocynum androsaemifolium","MOD"
"N137",2013-07-09,"full bloom",3,"Apocynum","androsaemifolium","","","2013",190,1,100,"Apocynum androsaemifolium","HIGH"
"N137",2013-07-12,"full bloom",3,"Apocynum","androsaemifolium","","","2013",193,1,100,"Apocynum androsaemifolium","HIGH"
"N137",2013-07-24,"finishing bloom",3,"Apocynum","androsaemifolium","","","2013",205,1,100,"Apocynum androsaemifolium","HIGH"
"N137",2013-07-26,"finishing bloom",2,"Apocynum","androsaemifolium","","","2013",207,1,10,"Apocynum androsaemifolium","HIGH"
"N137",2014-06-19,"not blooming",0,"Apocynum","androsaemifolium","","","2014",170,0,0,"Apocynum androsaemifolium","HIGH"
"N137",2014-07-07,"full bloom",2,"Apocynum","androsaemifolium","","","2014",188,1,10,"Apocynum androsaemifolium","HIGH"
"N137",2014-07-10,"full bloom",2,"Apocynum","androsaemifolium","","","2014",191,1,10,"Apocynum androsaemifolium","HIGH"
"N137",2014-07-19,"full bloom",3,"Apocynum","androsaemifolium","","","2014",200,1,100,"Apocynum androsaemifolium","HIGH"
"N139",2013-07-09,"beginning to bloom",1,"Apocynum","androsaemifolium","","","2013",190,1,1,"Apocynum androsaemifolium","LOW"
"N139",2013-07-12,"full bloom",3,"Apocynum","androsaemifolium","","","2013",193,1,100,"Apocynum androsaemifolium","LOW"
"N139",2013-07-24,"finishing bloom",2,"Apocynum","androsaemifolium","","","2013",205,1,10,"Apocynum androsaemifolium","LOW"
"N139",2013-07-26,"finishing bloom",2,"Apocynum","androsaemifolium","","","2013",207,1,10,"Apocynum androsaemifolium","LOW"
"N139",2014-06-18,"full bloom",1,"Apocynum","androsaemifolium","","","2014",169,1,1,"Apocynum androsaemifolium","LOW"
"N139",2014-07-06,"full bloom",2,"Apocynum","androsaemifolium","","","2014",187,1,10,"Apocynum androsaemifolium","LOW"
"N139",2014-07-09,"full bloom",2,"Apocynum","androsaemifolium","","","2014",190,1,10,"Apocynum androsaemifolium","LOW"
"N139",2014-07-18,"full bloom",2,"Apocynum","androsaemifolium","","","2014",199,1,10,"Apocynum androsaemifolium","LOW"
"P24",2013-06-27,"not blooming",0,"Apocynum","androsaemifolium","","","2013",178,0,0,"Apocynum androsaemifolium","LOW"
"P24",2013-07-13,"not blooming",0,"Apocynum","androsaemifolium","","","2013",194,0,0,"Apocynum androsaemifolium","LOW"
"P24",2013-07-19,"not blooming",0,"Apocynum","androsaemifolium","","","2013",200,0,0,"Apocynum androsaemifolium","LOW"
"P24",2013-07-29,"not blooming",0,"Apocynum","androsaemifolium","","","2013",210,0,0,"Apocynum androsaemifolium","LOW"
"P24",2014-06-12,"not blooming",0,"Apocynum","androsaemifolium","","","2014",163,0,0,"Apocynum androsaemifolium","LOW"
"P24",2014-06-23,"not blooming",0,"Apocynum","androsaemifolium","","","2014",174,0,0,"Apocynum androsaemifolium","LOW"
"P24",2014-07-02,"not blooming",0,"Apocynum","androsaemifolium","","","2014",183,0,0,"Apocynum androsaemifolium","LOW"
"P24",2014-07-13,"not blooming",0,"Apocynum","androsaemifolium","","","2014",194,0,0,"Apocynum androsaemifolium","LOW"
"P310",2013-06-29,"not blooming",0,"Apocynum","androsaemifolium","","","2013",180,0,0,"Apocynum androsaemifolium","HIGH"
"P310",2013-07-13,"finishing bloom",3,"Apocynum","androsaemifolium","","","2013",194,1,100,"Apocynum androsaemifolium","HIGH"
"P310",2013-07-17,"finishing bloom",3,"Apocynum","androsaemifolium","","","2013",198,1,100,"Apocynum androsaemifolium","HIGH"
"P310",2013-07-31,"finishing bloom",2,"Apocynum","androsaemifolium","","","2013",212,1,10,"Apocynum androsaemifolium","HIGH"
"P310",2014-06-12,"not blooming",0,"Apocynum","androsaemifolium","","","2014",163,0,0,"Apocynum androsaemifolium","HIGH"
"P310",2014-06-24,"beginning to bloom to bloom",1,"Apocynum","androsaemifolium","","","2014",175,1,1,"Apocynum androsaemifolium","HIGH"
"P310",2014-07-01,"beginning to bloom to bloom",3,"Apocynum","androsaemifolium","","","2014",182,1,100,"Apocynum androsaemifolium","HIGH"
"P310",2014-07-13,"beginning to bloom to bloom",2,"Apocynum","androsaemifolium","","","2014",194,1,10,"Apocynum androsaemifolium","HIGH"
"P33",2014-06-12,"full bloom",0,"Apocynum","androsaemifolium","","","2014",163,0,0,"Apocynum androsaemifolium","HIGH"
"P33",2014-06-22,"finishing bloom",0,"Apocynum","androsaemifolium","","","2014",173,0,0,"Apocynum androsaemifolium","HIGH"
"P33",2014-07-02,"finishing bloom",0,"Apocynum","androsaemifolium","","","2014",183,0,0,"Apocynum androsaemifolium","HIGH"
"P33",2014-07-13,"full bloom",2,"Apocynum","androsaemifolium","","","2014",194,1,10,"Apocynum androsaemifolium","HIGH"
"P43",2014-06-12,"not blooming",0,"Apocynum","androsaemifolium","","","2014",163,0,0,"Apocynum androsaemifolium","LOW"
"P43",2014-06-23,"not blooming",0,"Apocynum","androsaemifolium","","","2014",174,0,0,"Apocynum androsaemifolium","LOW"
"P43",2014-07-02,"not blooming",0,"Apocynum","androsaemifolium","","","2014",183,0,0,"Apocynum androsaemifolium","LOW"
"P43",2014-07-13,"full bloom",2,"Apocynum","androsaemifolium","","","2014",194,1,10,"Apocynum androsaemifolium","LOW"
"W04",2013-06-30,"not blooming",0,"Apocynum","androsaemifolium","","","2013",181,0,0,"Apocynum androsaemifolium","HIGH"
"W04",2013-07-14,"full bloom",2,"Apocynum","androsaemifolium","","","2013",195,1,10,"Apocynum androsaemifolium","HIGH"
"W04",2013-07-20,"finishing bloom",2,"Apocynum","androsaemifolium","","","2013",201,1,10,"Apocynum androsaemifolium","HIGH"
"W04",2013-08-01,"finishing bloom",2,"Apocynum","androsaemifolium","","","2013",213,1,10,"Apocynum androsaemifolium","HIGH"
"W04",2014-06-14,"not blooming",0,"Apocynum","androsaemifolium","","","2014",165,0,0,"Apocynum androsaemifolium","HIGH"
"W04",2014-06-25,"full bloom",2,"Apocynum","androsaemifolium","","","2014",176,1,10,"Apocynum androsaemifolium","HIGH"
"W04",2014-07-04,"full bloom",2,"Apocynum","androsaemifolium","","","2014",185,1,10,"Apocynum androsaemifolium","HIGH"
"W04",2014-07-14,"full bloom",4,"Apocynum","androsaemifolium","","","2014",195,1,1000,"Apocynum androsaemifolium","HIGH"
