"Site","Date","BloomStatus","FlowerNum","PlantFK"
"N133","7/18/14","not blooming",4,14
"N134","6/17/14","full bloom",4,14
"N134","7/6/14","not blooming",0,14
"N134","7/9/14","not blooming",0,14
"N134","7/17/14","not blooming",0,14
"N135","6/18/14","full bloom",2,14
"N135","7/6/14","not blooming",0,14
"N135","7/9/14","not blooming",0,14
"N135","7/19/14","not blooming",0,14
"N137","7/9/13","not blooming",0,14
"N137","7/12/13","not blooming",0,14
"N137","7/24/13","not blooming",0,14
"N137","7/26/13","not blooming",0,14
"N137","6/19/14","finishing bloom",2,14
"N137","7/7/14","finishing bloom",2,14
"N137","7/10/14","not blooming",0,14
"N137","7/19/14","not blooming",0,14
"P310","6/29/13","finishing bloom",2,14
"P310","7/13/13","not blooming",0,14
"P310","7/17/13","not blooming",0,14
"P310","7/31/13","not blooming",0,14
"P310","6/12/14","full bloom",4,14
"P310","6/24/14","finishing bloom",3,14
"P310","7/1/14","finishing bloom",5,14
"P310","7/13/14","finishing bloom",3,14
"P33","6/27/13","finishing bloom",3,14
"P33","7/13/13","finishing bloom",2,14
"P33","7/18/13","not blooming",0,14
"P33","7/29/13","not blooming",0,14
"P33","6/12/14","full bloom",5,14
"P33","6/22/14","finishing bloom",3,14
"P33","7/2/14","finishing bloom",2,14
"P33","7/13/14","finishing bloom",1,14
"P37","6/28/13","not blooming",0,14
"P37","7/13/13","not blooming",0,14
"P37","7/19/13","not blooming",0,14
"P37","7/30/13","not blooming",0,14
"P37","6/13/14","not blooming",0,14
"P37","6/24/14","finishing bloom",3,14
"P37","7/1/14","finishing bloom",2,14
"P37","7/13/14","not blooming",0,14
"W04","6/30/13","not blooming",0,14
"W04","7/14/13","not blooming",0,14
"W04","7/20/13","not blooming",0,14
"W04","8/1/13","not blooming",0,14
"W04","6/14/14","full bloom",4,14
"W04","6/25/14","finishing bloom",2,14
"W04","7/4/14","finishing bloom",2,14
"W04","7/14/14","finishing bloom",5,14
"L21","6/26/13","full bloom",1,15
"L21","7/13/13","full bloom",1,15
"L21","7/17/13","full bloom",1,15
"L21","7/30/13","finishing bloom",1,15
"L21","6/12/14","not blooming",0,15
"L21","6/22/14","beginning to bloom to bloom",2,15
"L21","7/3/14","not blooming",0,15
"L21","7/13/14","finishing bloom",1,15
"L33","6/29/13","full bloom",2,15
"L33","7/13/13","finishing bloom",1,15
"L33","7/19/13","finishing bloom",1,15
"L33","7/31/13","not blooming",0,15
"L33","6/13/14","not blooming",0,15
"L33","6/23/14","not blooming",0,15
"L33","7/3/14","full bloom",2,15
"L33","7/13/14","finishing bloom",2,15
"N131","6/14/14","beginning to bloom to bloom",2,15
"N131","6/25/14","not blooming",0,15
"N131","7/4/14","not blooming",0,15
"N131","7/14/14","not blooming",0,15
"P24","6/27/13","full bloom",2,15
"P24","7/13/13","finishing bloom",2,15
"P24","7/19/13","finishing bloom",2,15
"P24","7/29/13","not blooming",0,15
"P24","6/12/14","not blooming",0,15
"P24","6/23/14","beginning to bloom to bloom",1,15
"P24","7/2/14","finishing bloom",1,15
"P24","7/13/14","not blooming",0,15
"P37","6/28/13","full bloom",1,15
"P37","7/13/13","full bloom",1,15
"P37","7/19/13","finishing bloom",1,15
"P37","7/30/13","not blooming",0,15
"P37","6/13/14","not blooming",0,15
"P37","6/24/14","full bloom",3,15
"P37","7/1/14","full bloom",1,15
"P37","7/13/14","not blooming",0,15
"L21","6/26/13","not blooming",0,16
"L21","7/13/13","beginning to bloom",1,16
"L21","7/17/13","beginning to bloom",2,16
"L21","7/30/13","finishing bloom",2,16
"L21","6/12/14","not blooming",0,16
"L21","6/22/14","not blooming",0,16
"L21","7/3/14","full bloom",2,16
"L21","7/13/14","full bloom",2,16
"L35","6/27/13","not blooming",0,16
"L35","7/13/13","not blooming",0,16
"L35","7/18/13","beginning to bloom",1,16
"L35","7/29/13","not blooming",0,16
"L35","6/12/14","not blooming",0,16
"L35","6/22/14","not blooming",0,16
"L35","7/3/14","beginning to bloom to bloom",1,16
"L35","7/13/14","full bloom",1,16
"P24","6/12/14","not blooming",0,16
"P24","6/23/14","not blooming",0,16
"P24","7/2/14","not blooming",0,16
"P24","7/13/14","beginning to bloom to bloom",1,16
"P33","6/27/13","not blooming",0,16
"P33","7/13/13","beginning to bloom",1,16
"P33","7/18/13","beginning to bloom",1,16
"P33","7/29/13","full bloom",2,16
"P33","6/12/14","not blooming",0,16
"P33","6/22/14","not blooming",0,16
"P33","7/2/14","not blooming",0,16
"P33","7/13/14","beginning to bloom to bloom",1,16
"L21","6/12/14","full bloom",2,17
"L21","6/22/14","finishing bloom",1,17
"L21","7/3/14","not blooming",0,17
"L21","7/13/14","not blooming",0,17
"L24","6/27/13","full bloom",1,17
"L24","7/13/13","not blooming",0,17
"L24","7/18/13","not blooming",0,17
"L24","7/31/13","not blooming",0,17
"L24","6/13/14","full bloom",2,17
"L24","6/23/14","not blooming",0,17
"L24","7/2/14","not blooming",0,17
"L24","7/13/14","finishing bloom",1,17
"L33","6/13/14","full bloom",1,17
"L33","6/23/14","not blooming",0,17
"L33","7/3/14","not blooming",0,17
"L33","7/13/14","not blooming",0,17
"N137","7/9/13","finishing bloom",4,17
"N137","7/12/13","finishing bloom",4,17
"N137","7/24/13","finishing bloom",1,17
"N137","7/26/13","not blooming",0,17
"N137","6/19/14","full bloom",1,17
"N137","7/7/14","full bloom",1,17
"N137","7/10/14","finishing bloom",0,17
"N137","7/19/14","not blooming",0,17
"N139","6/18/14","full bloom",3,17
"N139","7/6/14","not blooming",0,17
"N139","7/9/14","not blooming",0,17
"N139","7/18/14","not blooming",0,17
"P24","6/27/13","finishing bloom",1,17
"P24","7/13/13","not blooming",0,17
"P24","7/19/13","not blooming",0,17
"P24","7/29/13","not blooming",0,17
"P24","6/12/14","not blooming",0,17
"P24","6/23/14","full bloom",3,17
"P24","7/2/14","not blooming",0,17
"P24","7/13/14","not blooming",0,17
"L21","6/26/13","beginning to bloom",1,18
"L21","7/13/13","full bloom",2,18
"L21","7/17/13","finishing bloom",2,18
"L21","7/30/13","finishing bloom",1,18
"L21","6/12/14","not blooming",0,18
"L21","6/22/14","not blooming",0,18
"L21","7/3/14","not blooming",0,18
"L21","7/13/14","full bloom",2,18
"L24","6/27/13","not blooming",0,18
"L24","7/13/13","full bloom",1,18
"L24","7/18/13","finishing bloom",1,18
"L24","7/31/13","finishing bloom",1,18
"L24","6/13/14","not blooming",0,18
"L24","6/23/14","not blooming",0,18
"L24","7/2/14","finishing bloom",1,18
"L24","7/13/14","not blooming",0,18
"L35","6/12/14","not blooming",0,18
"L35","6/22/14","not blooming",0,18
"L35","7/3/14","full bloom",1,18
"L35","7/13/14","not blooming",0,18
"N137","7/9/13","full bloom",4,19
"N137","7/12/13","full bloom",4,19
"N137","7/24/13","finishing bloom",2,19
"N137","7/26/13","finishing bloom",2,19
"N137","6/19/14","beginning to bloom to bloom",2,19
"N137","7/7/14","full bloom",3,19
"N137","7/10/14","full bloom",3,19
"N137","7/19/14","full bloom",3,19
"L21","6/26/13","full bloom",1,20
"L21","7/13/13","not blooming",0,20
"L21","7/17/13","not blooming",0,20
"L21","7/30/13","not blooming",0,20
"L21","6/12/14","full bloom",2,20
"L21","6/22/14","full bloom",2,20
"L21","7/3/14","finishing bloom",1,20
"L21","7/13/14","not blooming",0,20
"L24","6/13/14","full bloom",2,20
"L24","6/23/14","not blooming",0,20
"L24","7/2/14","not blooming",0,20
"L24","7/13/14","not blooming",0,20
"L35","6/27/13","full bloom",1,20
"L35","7/13/13","not blooming",0,20
"L35","7/18/13","not blooming",0,20
"L35","7/29/13","not blooming",0,20
"L35","6/12/14","full bloom",1,20
"L35","6/22/14","full bloom",2,20
"L35","7/3/14","finishing bloom",1,20
"L35","7/13/14","not blooming",0,20
"L24","6/27/13","beginning to bloom",1,21
"L24","7/13/13","full bloom",1,21
"L24","7/18/13","full bloom",1,21
"L24","7/31/13","finishing bloom",1,21
"L24","6/13/14","not blooming",0,21
"L24","6/23/14","not blooming",0,21
"L24","7/2/14","not blooming",0,21
"L24","7/13/14","not blooming",0,21
"L35","6/27/13","not blooming",0,21
"L35","7/13/13","beginning to bloom",2,21
"L35","7/18/13","full bloom",2,21
"L35","7/29/13","full bloom",2,21
"L35","6/12/14","not blooming",0,21
"L35","6/22/14","not blooming",0,21
"L35","7/3/14","not blooming",0,21
"L35","7/13/14","beginning to bloom to bloom",1,21
"N134","7/8/13","beginning to bloom",3,21
"N134","7/11/13","full bloom",3,21
"N134","7/22/13","full bloom",3,21
"N134","7/25/13","finishing bloom",3,21
"N134","6/17/14","not blooming",3,21
"N134","7/6/14","full bloom",3,21
"N134","7/9/14","full bloom",4,21
"N134","7/17/14","full bloom",4,21
"N136","7/9/13","beginning to bloom",1,21
"N136","7/12/13","beginning to bloom",1,21
"N136","7/24/13","finishing bloom",2,21
"N136","7/26/13","finishing bloom",1,21
"N136","6/17/14","not blooming",0,21
"N136","7/7/14","not blooming",0,21
"N136","7/10/14","finishing bloom",2,21
"N136","7/17/14","not blooming",0,21
"N137","7/9/13","not blooming",0,21
"N137","7/12/13","not blooming",0,21
"N137","7/24/13","full bloom",2,21
"N137","7/26/13","finishing bloom",2,21
