Genus,Subgenus,Species,Subspecies,Sex,GenSp
Hylaeus,(Hylaeus),rudbeckiae,,m,Hylaeus rudbeckiae 
Hylaeus,(Hylaeus),verticalis,,m,Hylaeus verticalis 
Hylaeus,(Paraprosopis),calvus,,m,Hylaeus calvus 
Hylaeus,(Paraprosopis),coloradensis,,m,Hylaeus coloradensis 
Hylaeus,(Paraprosopis),nevadensis,,m,Hylaeus nevadensis 
Hylaeus,(Paraprosopis),personatellus,,m,Hylaeus personatellus 
Hylaeus,(Paraprosopis),polifolii,,m,Hylaeus polifolii 
Hylaeus,(Paraprosopis),timberlakei,,m,Hylaeus timberlakei 
Hylaeus,(Paraprosopis),wootoni,,m,Hylaeus wootoni 
Hylaeus,(Prosopis),episcopalis,,m,Hylaeus episcopalis 
Hylaeus,(Prosopis),episcopalis,episcopalis,m,Hylaeus episcopalis episcopalis
Hylaeus,(Prosopis),episcopalis,giffardiellus,m,Hylaeus episcopalis giffardiellus
Hylaeus,(Prosopis),modestus,citrinifrons,m,Hylaeus modestus citrinifrons
Lasioglossum,(Dialictus),albohirtum,,m,Lasioglossum albohirtum 
Lasioglossum,(Dialictus),albuquerquense,,m,Lasioglossum albuquerquense 
Lasioglossum,(Dialictus),brunneiventre,,m,Lasioglossum brunneiventre 
Lasioglossum,(Dialictus),cyaneonotum,,m,Lasioglossum cyaneonotum 
Lasioglossum,(Dialictus),glabriventre,,m,Lasioglossum glabriventre 
Lasioglossum,(Dialictus),hyalinum,,m,Lasioglossum hyalinum 
Lasioglossum,(Dialictus),incompletum,,m,Lasioglossum incompletum 
Lasioglossum,(Dialictus),knereri,,m,Lasioglossum knereri 
Lasioglossum,(Dialictus),nevadense,,m,Lasioglossum nevadense 
Lasioglossum,(Dialictus),nevadense shiney,,m,Lasioglossum nevadense shiney 
Lasioglossum,(Dialictus),obscurior,,m,Lasioglossum obscurior 
Lasioglossum,(Dialictus),petrellum,,m,Lasioglossum petrellum 
Lasioglossum,(Dialictus),pilosum,pilosum,m,Lasioglossum pilosum pilosum
Lasioglossum,(Dialictus),punctatoventre,,m,Lasioglossum punctatoventre 
Lasioglossum,(Dialictus),ruidosense,,m,Lasioglossum ruidosense 
Lasioglossum,(Dialictus),semicaeruleum,,m,Lasioglossum semicaeruleum 
Lasioglossum,(Dialictus),tegulare,,m,Lasioglossum tegulare 
Lasioglossum,(Dialictus),tuolumnense,,m,Lasioglossum tuolumnense 
Lasioglossum,(Dialictus),veganum,,m,Lasioglossum veganum 
Lasioglossum,(Evylaeus),allonotum,,m,Lasioglossum allonotum 
Lasioglossum,(Evylaeus),inconditus,,m,Lasioglossum inconditus 
Lasioglossum,(Evylaeus),ovaliceps,,m,Lasioglossum ovaliceps 
Lasioglossum,(Lasioglossum),anhypops,,m,Lasioglossum anhypops 
Lasioglossum,(Lasioglossum),egregium,,m,Lasioglossum egregium 
Lasioglossum,(Lasioglossum),mellipes,,m,Lasioglossum mellipes 
Lasioglossum,(Lasioglossum),olympiae,,m,Lasioglossum olympiae 
Lasioglossum,(Lasioglossum),sisymbrii,,m,Lasioglossum sisymbrii 
Lasioglossum,(Lasioglossum),timberlakei,,m,Lasioglossum timberlakei 
Lasioglossum,(Lasioglossum),titusi,,m,Lasioglossum titusi 
Lasioglossum,(Lasioglossum),trizonatum,,m,Lasioglossum trizonatum 
Megachile,(Argyropile),parallela,,m,Megachile parallela 
Megachile,(Chelostomoides),angelarum,,m,Megachile angelarum 
Megachile,(Chelostomoides),texensis,,m,Megachile texensis 
Megachile,(Eutricharaea),apicalis,,m,Megachile apicalis 
Megachile,(Eutricharaea),melanogaster,,m,Megachile melanogaster 
Megachile,(Leptorachis),angularis,,m,Megachile angularis 
Megachile,(Litomegachile),brevis,onobrychidis,m,Megachile brevis onobrychidis
Megachile,(Litomegachile),gentilis,,m,Megachile gentilis 
Megachile,(Litomegachile),texana,,m,Megachile texana 
Megachile,(Megachile),montivaga,,m,Megachile montivaga 
Megachile,(Megachile),relativa,,m,Megachile relativa 
Megachile,(Megachiloides),gravita,,m,Megachile gravita 
Megachile,(Megachiloides),pascoensis,,m,Megachile pascoensis 
Megachile,(Megachiloides),pseudonigra,,m,Megachile pseudonigra 
Megachile,(Megachiloides),subnigra,,m,Megachile subnigra 
Megachile,(Megachiloides),subnigra,angelica,m,Megachile subnigra angelica
Megachile,(Megachiloides),wheeleri,,m,Megachile wheeleri 
Megachile,(Sayapis),fidelis,,m,Megachile fidelis 
Megachile,(Sayapis),frugalis,pseudofrugalis,m,Megachile frugalis pseudofrugalis
Megachile,(Sayapis),inimica,jacumbensis,m,Megachile inimica jacumbensis
Megachile,(Sayapis),inimica,sayi,m,Megachile inimica sayi
Megachile,(Sayapis),policaris,,m,Megachile policaris 
Megachile,(Sayapis),pugnata,pomonae,m,Megachile pugnata pomonae
Megachile,(Xanthosarus),frigida,,m,Megachile frigida 
Megachile,(Xanthosarus),gemula,cressonii,m,Megachile gemula cressonii
Megachile,(Xanthosarus),melanophaea,,m,Megachile melanophaea 
Megachile,(Xanthosarus),perihirta,,m,Megachile perihirta 
Melecta,,edwardsi,,m,Melecta edwardsi 
Melecta,(Melecta),pacifica,,m,Melecta pacifica 
Melecta,(Melecta),thoracica,,m,Melecta thoracica 
Melissodes,(Callimelissodes),lupina,,m,Melissodes lupina 
Melissodes,(Eumelissodes),bicolorata,,m,Melissodes bicolorata 
Melissodes,(Eumelissodes),microsticta,,m,Melissodes microsticta 
Melissodes,(Eumelissodes),pallidisignata,,m,Melissodes pallidisignata 
Melissodes,(Melissodes),communis,alopex,m,Melissodes communis alopex
Micralictoides,,grossus,,m,Micralictoides grossus 
Nomada,(Centrias),crotchii,nigrior,m,Nomada crotchii nigrior
Nomada,(Gnathias),rhodalis,,m,Nomada rhodalis 
Nomada,(Holonomada),edwardsii,,m,Nomada edwardsii 
Nomada,(Nomadita),verecunda,,m,Nomada verecunda 
Oreopasites,,vanduzeei,,m,Oreopasites vanduzeei 
Osmia,,claremontensis,,m,Osmia claremontensis 
Osmia,(Acanthosmioides),giffardi,,m,Osmia giffardi 
Osmia,(Acanthosmioides),giliarum,,m,Osmia giliarum 
Osmia,(Acanthosmioides),integra,,m,Osmia integra 
Osmia,(Acanthosmioides),nifoata,,m,Osmia nifoata 
Osmia,(Acanthosmioides),nigrifrons,,m,Osmia nigrifrons 
Osmia,(Acanthosmioides),obliqua,,m,Osmia obliqua 
Osmia,(Acanthosmioides),physariae,,m,Osmia physariae 
Osmia,(Cephalosmia),californica,,m,Osmia californica 
Osmia,(Cephalosmia),grinnelli,,m,Osmia grinnelli 
Osmia,(Cephalosmia),marginipennis,,m,Osmia marginipennis 
Osmia,(Cephalosmia),montana,quadriceps,m,Osmia montana quadriceps
Osmia,(Cephalosmia),subaustralis,,m,Osmia subaustralis 
Osmia,(Euthosmia),glauca,,m,Osmia glauca 
Osmia,(Helicosmia),coloradensis,,m,Osmia coloradensis 
Osmia,(Helicosmia),texana,,m,Osmia texana 
Osmia,(Melanosmia),aglaia,,m,Osmia aglaia 
Osmia,(Melanosmia),albolateralis,,m,Osmia albolateralis 
Osmia,(Melanosmia),atrocyanea,,m,Osmia atrocyanea 
Osmia,(Melanosmia),austromaritima,,m,Osmia austromaritima 
Osmia,(Melanosmia),bakeri,,m,Osmia bakeri 
Osmia,(Melanosmia),brevis,,m,Osmia brevis 
Osmia,(Melanosmia),bruneri,,m,Osmia bruneri 
Osmia,(Melanosmia),cahuilla,,m,Osmia cahuilla 
Osmia,(Melanosmia),calla,,m,Osmia calla 
Osmia,(Melanosmia),callaformis,,m,Osmia callaformis 
Osmia,(Melanosmia),cara,,m,Osmia cara 
Osmia,(Melanosmia),cobaltina,,m,Osmia cobaltina 
Osmia,(Melanosmia),cyanella,,m,Osmia cyanella 
Osmia,(Melanosmia),cyanopoda,,m,Osmia cyanopoda 
Osmia,(Melanosmia),densa,,m,Osmia densa 
Osmia,(Melanosmia),ednae,,m,Osmia ednae 
Osmia,(Melanosmia),exigua,,m,Osmia exigua 
Osmia,(Melanosmia),gabrielis,,m,Osmia gabrielis 
Osmia,(Melanosmia),gaudiosa,,m,Osmia gaudiosa 
Osmia,(Melanosmia),grindeliae,,m,Osmia grindeliae 
Osmia,(Melanosmia),hemera,,m,Osmia hemera 
Osmia,(Melanosmia),hesperos,,m,Osmia hesperos 
Osmia,(Melanosmia),inermis,,m,Osmia inermis 
Osmia,(Melanosmia),inurbana,,m,Osmia inurbana 
Osmia,(Melanosmia),juxta,,m,Osmia juxta 
Osmia,(Melanosmia),kincaidii,,m,Osmia kincaidii 
Osmia,(Melanosmia),laeta,,m,Osmia laeta 
Osmia,(Melanosmia),malina,,m,Osmia malina 
Osmia,(Melanosmia),nanula,,m,Osmia nanula 
Osmia,(Melanosmia),paradisica,,m,Osmia paradisica 
Osmia,(Melanosmia),pentstemonis,,m,Osmia pentstemonis 
Osmia,(Melanosmia),pikei,,m,Osmia pikei 
Osmia,(Melanosmia),pulsatillae,,m,Osmia pulsatillae 
Osmia,(Melanosmia),pusilla,,m,Osmia pusilla 
Osmia,(Melanosmia),regulina,,m,Osmia regulina 
Osmia,(Melanosmia),sculleni,,m,Osmia sculleni 
Osmia,(Melanosmia),trevoris,,m,Osmia trevoris 
Osmia,(Melanosmia),tristella,,m,Osmia tristella 
Osmia,(Melanosmia),visenda,,m,Osmia visenda 
Osmia,(Mystacosmia),nemoris,,m,Osmia nemoris 
Osmia,(Osmia),lignaria,propinqua,m,Osmia lignaria propinqua
Osmia,(Osmia),ribifloris,biedermannii,m,Osmia ribifloris biedermannii
Osmia,(Trichinosmia),latisulcata,,m,Osmia latisulcata 
Panurginus,,nigrellus,,m,Panurginus nigrellus 
Panurginus,,occidentalis,,m,Panurginus occidentalis 
Panurginus,,quadratus,,m,Panurginus quadratus 
Perdita,(Hesperoperdita),trisignata,ornata,m,Perdita trisignata ornata
Perdita,(Perdita),hirticeps,hirticeps,m,Perdita hirticeps hirticeps
Perdita,(Perdita),oregonensis,expleta,m,Perdita oregonensis expleta
Perdita,(Perdita),rivalis,,m,Perdita rivalis 
Perdita,(Perdita),yosemitensis,,m,Perdita yosemitensis 
Perdita,(Pygoperdita),nevadensis,culbertsoni,m,Perdita nevadensis culbertsoni
Perdita,(Pygoperdita),quadrisignata,,m,Perdita quadrisignata 
Perdita,(Pygoperdita),tularensis,,m,Perdita tularensis 
Perdita,(Pygoperdita),vandykei,,m,Perdita vandykei 
Protosmia,(Chelostomopsis),rubifloris,,m,Protosmia rubifloris 
Stelis,(Dolichostelis),laticincta,,m,Stelis laticincta 
Stelis,(Stelis),albosignata,,m,Stelis albosignata 
Stelis,(Stelis),anasazi,,m,Stelis anasazi 
Stelis,(Stelis),calliphorina,,m,Stelis calliphorina 
Stelis,(Stelis),carnifex,,m,Stelis carnifex 
Stelis,(Stelis),cockerelli,,m,Stelis cockerelli 
Stelis,(Stelis),holocyanea,,m,Stelis holocyanea 
Stelis,(Stelis),incisa,,m,Stelis incisa 
Stelis,(Stelis),interrupta,,m,Stelis interrupta 
Stelis,(Stelis),linsleyi,,m,Stelis linsleyi 
Stelis,(Stelis),montana,,m,Stelis montana 
Stelis,(Stelis),monticola,,m,Stelis monticola 
Stelis,(Stelis),occidentalis,,m,Stelis occidentalis 
Stelis,(Stelis),pavonina,,m,Stelis pavonina 
Stelis,(Stelis),semirubra,,m,Stelis semirubra 
Stelis,(Stelis),subcaerulea,,m,Stelis subcaerulea 
Stelis,(Stelis),subemarginata,,m,Stelis subemarginata 
Triepeolus,(Triepeolus),subalpinus,,m,Triepeolus subalpinus 
Triepeolus,(Triepeolus),vandykei,,m,Triepeolus vandykei 
Xeromelecta,(Melectomorpha),californica,,m,Xeromelecta californica 
Xylocopa,(Notoxylocopa),tabaniformis,orpifex,m,Xylocopa tabaniformis orpifex
Xylocopa,(Xylocopoides),californica,californica,m,Xylocopa californica californica
Agapostemon,(Agapostemon),angelicus,,f,Agapostemon angelicus 
Agapostemon,(Agapostemon),texanus,,f,Agapostemon texanus 
Andrena,(Anchandrena),quercina,,f,Andrena quercina 
Andrena,(Andrena),birtwelli,,f,Andrena birtwelli 
Andrena,(Andrena),ceanothifloris,cretata,f,Andrena ceanothifloris cretata
Andrena,(Andrena),edwardsi,,f,Andrena edwardsi 
Andrena,(Andrena),frigida,,f,Andrena frigida 
Andrena,(Andrena),hemileuca,,f,Andrena hemileuca 
Andrena,(Andrena),mesoleuca,,f,Andrena mesoleuca 
Andrena,(Andrena),monoensis,,f,Andrena monoensis 
Andrena,(Andrena),monogonoparia,,f,Andrena monogonoparia 
Andrena,(Andrena),prolixa,,f,Andrena prolixa 
Andrena,(Andrena),thaspii,,f,Andrena thaspii 
