Park,Site,Year,Shannon,Evenness,Simpson,invSimpson,Richness,Richness_SAS
YOSE,N13-8,2013,1.241726006,0.499707305,0.549383876,2.219183795,12,43
YOSE,N13-9,2013,0.33169732,0.206095133,0.134387971,1.155251968,5,18
YOSE,P1-1,2002,0.566085739,0.515273445,0.291666667,1.411764706,3,10
YOSE,P1-1,2013,0.230811989,0.332991312,0.115266236,1.130283528,2,14
YOSE,P1-10,2002,0,0,0,1,1,16
YOSE,P1-10,2013,1.052784033,0.958285324,0.638578012,2.766848816,3,16
YOSE,P1-2,2013,1.345089155,0.691239087,0.657006286,2.915505322,7,13
YOSE,P1-3,2002,1.129033933,0.814425828,0.649793388,2.855457227,4,21
YOSE,P1-3,2013,1.087730167,0.55898273,0.5479,2.211900022,7,27
YOSE,P1-4,2002,1.098612289,1,0.666666667,3,3,17
YOSE,P1-4,2013,0.431510145,0.268112327,0.189495215,1.233799009,5,18
YOSE,P1-5,2002,0.693147181,1,0.5,2,2,13
YOSE,P1-5,2013,0.180558529,0.164351456,0.072495414,1.078161785,3,10
YOSE,P1-6,2002,0.376770161,0.543564443,0.21875,1.28,2,28
YOSE,P1-6,2013,0.60630623,0.33838595,0.285980796,1.400522554,6,26
YOSE,P1-7,2002,0.636514168,0.918295834,0.444444444,1.8,2,17
YOSE,P1-7,2013,1.118400626,0.537837012,0.533067347,2.141636472,8,14
YOSE,P1-8,2002,0,0,0,1,1,17
YOSE,P1-8,2013,0.526097634,0.379499224,0.258579882,1.348762969,4,14
YOSE,P1-9,2002,1.002718265,0.723308334,0.518518519,2.076923077,4,17
YOSE,P1-9,2013,1.035364987,0.942429825,0.623164964,2.653681065,3,16
YOSE,P2-1,2002,0,0,0,1,1,5
YOSE,P2-1,2013,1.094040898,0.562225804,0.521048554,2.087894311,7,11
YOSE,P2-10,2013,0.332002818,0.47897882,0.185059209,1.227083011,2,8
YOSE,P2-2,2013,0.495467506,0.357404257,0.24722072,1.328410633,4,19
YOSE,P2-3,2013,0.360461536,0.260018035,0.159690262,1.190037382,4,18
YOSE,P2-4,2002,1.560710409,0.9697239,0.777777778,4.5,5,17
YOSE,P2-4,2013,0.84792054,0.43574496,0.408894727,1.691746032,7,21
YOSE,P2-5,2013,0.950125323,0.412634185,0.423241289,1.733827301,10,31
YOSE,P2-6,2002,0,0,0,1,1,15
YOSE,P2-6,2013,0.467691678,0.425711311,0.247133059,1.328255958,3,18
YOSE,P2-7,2002,0.598269589,0.863120569,0.408163265,1.689655172,2,18
YOSE,P2-7,2013,0.547792101,0.34036237,0.256657484,1.345274861,5,17
YOSE,P2-8,2002,1.098612289,1,0.666666667,3,3,18
YOSE,P2-8,2013,0.593388204,0.368692821,0.298804012,1.426134801,5,19
YOSE,P2-9,2013,0.40886944,0.372169002,0.203136,1.254919284,3,13
YOSE,P3-10,2002,0.959614794,0.873479028,0.569444444,2.322580645,3,15
YOSE,P3-10,2013,1.322296104,0.574265902,0.638636364,2.767295597,10,21
YOSE,P3-2,2013,0.761198774,0.391178788,0.421782544,1.72945315,7,26
YOSE,P3-3,2013,1.141146893,0.586433497,0.573112245,2.342536154,7,21
YOSE,P3-4,2002,0,0,0,1,1,28
YOSE,P3-4,2013,0.532322757,0.297094988,0.216111111,1.275690999,6,31
YOSE,P3-5,2013,0.442293603,0.319047394,0.217745638,1.278356566,4,13
YOSE,P3-6,2002,1.291906007,0.802706335,0.672839506,3.056603774,5,16
YOSE,P3-6,2013,0.918688303,0.570813136,0.457323269,1.842717668,5,25
YOSE,P3-7,2002,1.869829874,0.850996249,0.790816327,4.780487805,9,25
YOSE,P3-7,2013,1.192747418,0.612950921,0.577744713,2.36823559,7,33
YOSE,P3-8,2002,1.129444137,0.630354775,0.576005696,2.35852225,6,17
YOSE,P3-8,2013,1.110060594,0.570458299,0.609234885,2.559082074,7,26
YOSE,P3-9,2002,1.948053346,0.886597285,0.829931973,5.88,9,37
YOSE,P3-9,2013,0.843661786,0.366397658,0.40382238,1.677352463,10,33
YOSE,P4-1,2002,1.044186848,0.582771776,0.471655329,1.892703863,6,24
YOSE,P4-1,2013,1.088204089,0.607338266,0.586368738,2.417612235,6,20
YOSE,P4-3,2002,1.16828245,0.842737649,0.64,2.777777778,4,20
YOSE,P4-3,2013,0.407300111,0.370740538,0.210083008,1.265955803,3,15
YOSE,P4-4,2002,0,0,0,1,1,15
YOSE,P4-4,2013,0.669890386,0.483223769,0.34612517,1.529344691,4,13
YOSE,P4-5,2013,0.345206625,0.498027887,0.194824219,1.241964827,2,11
YOSE,R2-10,2002,1.417798011,0.880927435,0.721088435,3.585365854,5,22
YOSE,R2-12,2002,1.033562054,0.745557425,0.545454545,2.2,4,29
YOSE,R2-12,2013,1.054648834,0.541982287,0.481664932,1.929253995,7,22
