Males,Females,Family,Genus,Species,PlantGenusSpecies
0,1,Andrenidae,Andrena,forbesii,Chamaebatia foliolosa 
0,2,Andrenidae,Andrena,forbesii,Cornus sericea ssp.occidentalis 
0,2,Andrenidae,Andrena,forbesii,NA
0,1,Andrenidae,Andrena,forbesii,Rhamnus sp. 
0,1,Andrenidae,Andrena,frigida,Streptanthus diversifolius 
0,1,Andrenidae,Andrena,hamulata,Aquilegia formosa 
0,1,Andrenidae,Andrena,hamulata,Arnica chamissonis ssp.foliosa 
0,3,Andrenidae,Andrena,hamulata,Lilium parvum 
0,3,Andrenidae,Andrena,hamulata,NA
0,1,Andrenidae,Andrena,hemileuca,Arctostaphylos viscida 
0,1,Andrenidae,Andrena,hemileuca,Calyptridium umbellatum 
0,19,Andrenidae,Andrena,hemileuca,NA
0,20,Andrenidae,Andrena,hemileuca,Phyllodoce breweri 
0,1,Andrenidae,Andrena,hypoleuca,NA
0,3,Andrenidae,Andrena,hypoleuca,Rhamnus ilicifolia 
0,1,Andrenidae,Andrena,knuthiana,Arctostaphylos viscida 
0,1,Andrenidae,Andrena,lewisorum,Ceanothus fresnensis 
0,1,Andrenidae,Andrena,lewisorum,Hypochaeris glabra 
0,2,Andrenidae,Andrena,lewisorum,NA
0,1,Andrenidae,Andrena,lomatii,Lomatium torreyi 
0,1,Andrenidae,Andrena,mackieae,Ceanothus integerrimus 
0,1,Andrenidae,Andrena,macoupinensis,NA
0,1,Andrenidae,Andrena,macrocephala,Ceanothus integerrimus 
0,12,Andrenidae,Andrena,macrocephala,Nemophila menziesii 
0,6,Andrenidae,Andrena,macrocephala,Nemophila menziesii var.menziesii
0,16,Andrenidae,Andrena,macrocephala,NA
0,10,Andrenidae,Andrena,macrocephala,Pholistoma auritum 
0,4,Andrenidae,Andrena,macrocephala,Pholistoma auritum var.auritum
0,1,Andrenidae,Andrena,macrocephala,Plagiobothrys nothofulvus 
0,2,Andrenidae,Andrena,medionitens,Allium obtusum 
0,2,Andrenidae,Andrena,medionitens,Allium validum 
0,5,Andrenidae,Andrena,medionitens,Arenaria aculeata 
0,3,Andrenidae,Andrena,medionitens,Arenaria kingii var.glabrescens 
0,20,Andrenidae,Andrena,medionitens,Calyptridium monospermum 
0,6,Andrenidae,Andrena,medionitens,Calyptridium sp. 
0,9,Andrenidae,Andrena,medionitens,Calyptridium umbellatum 
0,6,Andrenidae,Andrena,medionitens,Calyptridium umbellatum var.caudiciferum 
0,1,Andrenidae,Andrena,medionitens,Cymopterus terebinthinus 
0,6,Andrenidae,Andrena,medionitens,Eriogonum incanum 
0,1,Andrenidae,Andrena,medionitens,Eriogonum nudum 
0,1,Andrenidae,Andrena,medionitens,Eriogonum nudum var.nudum
0,2,Andrenidae,Andrena,medionitens,Eriogonum sp. 
0,1,Andrenidae,Andrena,medionitens,Horkelia tridentata 
0,1,Andrenidae,Andrena,medionitens,Ivesia muirii 
0,1,Andrenidae,Andrena,medionitens,Ivesia sp. 
0,1,Andrenidae,Andrena,medionitens,Minuartia obtusiloba 
0,41,Andrenidae,Andrena,medionitens,NA
0,1,Andrenidae,Andrena,medionitens,Perideridia bolanderi 
0,1,Andrenidae,Andrena,medionitens,Sanicula sp. 
0,1,Andrenidae,Andrena,medionitens,Senecio integerrimus var.exaltatus 
0,2,Andrenidae,Andrena,medionitens,Streptanthus tortuosus var.orbiculatus 
0,1,Andrenidae,Andrena,medionitens,Streptanthus tortuosus var.tortuosus
0,1,Andrenidae,Andrena,medionitens,Triteleia montana 
0,1,Andrenidae,Andrena,melanochroa,Amelanchier utahensis 
0,1,Andrenidae,Andrena,melanochroa,Ceanothus integerrimus 
0,4,Andrenidae,Andrena,melanochroa,NA
0,1,Andrenidae,Andrena,melanochroa,Rhamnus sp. 
0,1,Andrenidae,Andrena,merriami,Potentilla glandulosa 
0,1,Andrenidae,Andrena,mesoleuca,Lupinus sp. 
0,1,Andrenidae,Andrena,mesoleuca,NA
0,1,Andrenidae,Andrena,miranda,Ceanothus fresnensis 
0,1,Andrenidae,Andrena,miranda,Chamaebatia foliolosa 
0,1,Andrenidae,Andrena,miserabilis,Salix sp. 
0,1,Andrenidae,Andrena,monoensis,Arenaria aculeata 
0,4,Andrenidae,Andrena,monoensis,Arenaria kingii var.glabrescens 
0,1,Andrenidae,Andrena,monoensis,Calyptridium sp. 
0,1,Andrenidae,Andrena,monoensis,Lupinus bicolor 
0,2,Andrenidae,Andrena,monoensis,Lupinus covillei 
0,1,Andrenidae,Andrena,monoensis,Lupinus lepidus var.lobbii 
0,2,Andrenidae,Andrena,monoensis,NA
0,1,Andrenidae,Andrena,monoensis,Phyllodoce breweri 
0,1,Andrenidae,Andrena,monoensis,Solidago canadensis ssp.elongata 
0,1,Andrenidae,Andrena,monogonoparia,Arctostaphylos viscida 
1,7,Andrenidae,Andrena,monogonoparia,NA
0,1,Andrenidae,Andrena,nemophilae,Nemophila heterophylla 
0,11,Andrenidae,Andrena,nemophilae,Nemophila menziesii 
0,18,Andrenidae,Andrena,nemophilae,Nemophila menziesii var.menziesii
0,27,Andrenidae,Andrena,nemophilae,NA
0,1,Andrenidae,Andrena,nemophilae,Phacelia platyloba 
0,2,Andrenidae,Andrena,nigrihirta,Comandra umbellata ssp.californica 
0,4,Andrenidae,Andrena,nigrihirta,Disporum hookeri 
0,3,Andrenidae,Andrena,nigrihirta,NA
0,1,Andrenidae,Andrena,nigrocaerulea,Allium amplectens 
0,1,Andrenidae,Andrena,nigrocaerulea,Allium obtusum 
2,0,Andrenidae,Andrena,nigrocaerulea,Allium sp. 
1,3,Andrenidae,Andrena,nigrocaerulea,Arctostaphylos viscida 
0,3,Andrenidae,Andrena,nigrocaerulea,Arenaria aculeata 
0,7,Andrenidae,Andrena,nigrocaerulea,Arenaria kingii var.glabrescens 
0,1,Andrenidae,Andrena,nigrocaerulea,Asclepias cordifolia 
0,6,Andrenidae,Andrena,nigrocaerulea,Calyptridium monospermum 
0,10,Andrenidae,Andrena,nigrocaerulea,Calyptridium sp. 
0,19,Andrenidae,Andrena,nigrocaerulea,Calyptridium umbellatum 
